Designator,Mid X,Mid Y,Rotation,Layer
C1,65.9125,52.8,180.0,bottom
C10,9.275,30.5,90.0,bottom
C11,10.675,44.05,270.0,bottom
C12,17.75,44.05,270.0,bottom
C13,52.25,49.76,270.0,bottom
C14,43.76,49.455,270.0,bottom
C15,53.83,49.765,270.0,bottom
C16,40.045,49.455,270.0,bottom
C17,41.905,49.675,270.0,bottom
C2,66.3125,61.0,270.0,bottom
C3,62.625,63.5,90.0,bottom
C4,36.68,56.385,270.0,bottom
C5,14.375,46.725,0.0,bottom
C6,14.375,48.375,0.0,bottom
C7,32.2,54.9,0.0,bottom
C8,10.85,30.5,90.0,bottom
C9,12.275,44.05,270.0,bottom
D1,62.6125,60.075,270.0,bottom
D2,79.35,63.825,180.0,bottom
D3,79.35,60.825,180.0,bottom
D4,79.35,57.825,180.0,bottom
D5,79.35,54.825,180.0,bottom
J1,78.55,40.475,270.0,bottom
J3,48.5,54.7,180.0,bottom
L1,62.6125,56.225,90.0,bottom
Q1,30.0,48.55,0.0,bottom
Q2,34.1,48.55,0.0,bottom
R1,64.6875,61.0,270.0,bottom
R10,74.7,60.825,180.0,bottom
R11,74.7,57.825,180.0,bottom
R12,74.7,54.825,180.0,bottom
R13,26.1,47.6,0.0,bottom
R14,26.075,49.5,0.0,bottom
R15,32.325,51.225,0.0,bottom
R16,37.025,49.375,90.0,bottom
R17,56.84,49.705,270.0,bottom
R2,67.9625,61.0,90.0,bottom
R3,82.075,25.9,90.0,bottom
R4,14.375,50.025,180.0,bottom
R5,84.825,25.9,90.0,bottom
R6,87.575,25.9,90.0,bottom
R7,17.75,47.4,90.0,bottom
R8,45.605,49.675,270.0,bottom
R9,74.725,63.825,180.0,bottom
SW9,80.25,78.2,180.0,bottom
U1,65.9125,56.225,90.0,bottom
U2,34.1,58.1,270.0,bottom
U3,15.15,43.6875,270.0,bottom
U4,15.425,25.915,90.0,bottom
