Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C214, C219, C221, C227",0603,5,10n,Generic C/10nF/X7R/25V/0603
"C202, C203",0603,2,12p,Generic C/12pF/C0G/16V/0603
"C204, C205, C314, C318",0603,4,2u2,Generic C/2.2uF/X5R/25V/0603
C206,CP_EIA-3216-18_Kemet-A,1,10u,C110055
C207,1210,1,10u,Generic C/10uF/X7R/25V/1210
"C208, C209, C210, C213, C215, C216, C217, C220, C225, C226, C302, C306, C308, C309, C310, C313, C316, C317, C401, C501, C502, C513, C514",0603,23,100n,Generic C/100nF/X7R/50V/0603
"C211, C218, C222, C224",0603,4,1u,Generic C/1uF/X7R/25V/0603
"C212, C223",1206,2,22u,Generic C/22uF/X7R/10V/1206
C301,0603,1,470p,Generic C/470pF/C0G/25V/0603
C303,0603,1,1n5,Generic C 1n5/X7R/10V/0603
"C304, C315, C503, C505, C506, C508",0603,6,10n,Generic C/10nF/C0G/25V/0603
C305,0603,1,220n,Generic C/220nF/X7R/25V/0603
C307,0603,1,15p,Generic C/15pF/C0G/25V/0603
C311,CP_Elec_6.3x7.7,1,470u,C116423
C312,0603,1,470n,Generic C/470nF/X7R/50V/0603
"C504, C509",0603,2,680p,Generic C/680pF/C0G/25V/0603
"C507, C510, C511, C512",CP_EIA-3216-18_Kemet-A,4,22u,C118989
D201,D_SOD-128,1,PTVS18VP1UP,C2909295
D202,SOT-23,1,BAT54C,C2135
"D203, D401",D_SOD-323,2,BAT60A,C520634
D204,0603,1,Blue,Generic LED/Blue/0603
D205,0603,1,Red,Generic LED/Red/0603
D206,0603,1,Green,Generic LED/Green/0603
D207,0603,1,Orange,Generic LED/Orange/0603
"FB201, FB202, FB203, FB204, FB401",0805,5,FB0805,C1017
IC301,SOIC-8_3.9x4.9mm_P1.27mm,1,LM4991MA,C2860134
J401,DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,Radio,C75749
J402,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C,C165948
J403,PinHeader_1x06_P2.54mm_Vertical,1,Radio_Opt,C492405
J404,PJ-3136-B,1,Kenwood-3.5,C381131
J405,PJ-211A,1,Kenwood-2.5,C480265
J406,PinHeader_1x07_P2.54mm_Vertical,1,2.54mm Header 7p,C492406
J407,KH-RJ45-58-8P8C,1,KH-RJ45-58-8P8C,C2683360
J411,BarrelJack_CLIFF_FC681465S_SMT_Horizontal,1,+12V,C319133
J412,Hirose_FH12-26S-0.5SH_1x26-1MP_P0.50mm_Horizontal,1,Hirose FH12-26S-0.5SH(55),C202113
J413,Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal,1,Molex 532610271,C189700
L201,L_Vishay_IHLP-2525,1,10u, C506573
L202,0805,1,1u,C223144
Q201,SOT-23,1,MMBT3904,C84555
Q202,SOT-23,1,IRLML2244,C169763
Q301,SOT-23,1,IRLML2060,C67275
"Q302, Q303",SOT-23,2,BSS138,C400505
"R201, R204, R207, R313",0603,4,100k,Generic R/100k/0603
"R202, R203, R209, R210, R211, R215, R216, R219, R220, R223, R224, R305, R306, R308, R312, R317, R318, R319, R405",0603,19,10k,Generic R/10k/0603
"R205, R206, R508, R511, R512",0603,5,22k,Generic R/22k/0603
R208,0603,1,1k,Generic R/1k/0603
R212,0603,1,8k2,Generic R/8k2/0603
R213,0603,1,43k,Generic R/43k/0603
"R214, R301, R310",0603,3,47k,Generic R/47k/0603
"R217, R218, R221, R222, R229, R230",0603,6,470,Generic R/470R/0603
"R225, R226, R227, R228",0603,4,680,Generic R/680R/0603
"R231, R232, R309, R406, R506",0603,5,2k2,Generic R/2k2/0603
"R233, R311, R509",0603,3,0,Generic R/0R/0603
R302,0603,1,330,Generic R/330/0603
R303,0603,1,13k,Generic R/13k/0603
R304,0603,1,7k5,Generic R/7k5/0603
"R307, R503, R504",0603,3,3k3,Generic R/3k3/0603
R314,0603,1,2k,Generic R/2k/0603
R315,0603,1,150k,Generic R/150k/0603
R316,0603,1,4k3,Generic R/4k3/0603
R320,0603,1,430,Generic R/430/0603
"R401, R402",0603,2,5k1,Generic R/5k1/0603
"R407, R408",0603,2,22,Generic R/22R/0603
"R409, R410",1210,2,100,Generic R/0R/0603
"R501, R507",0603,2,3k9,Generic R/3k9/0603
"R502, R505",0603,2,39k,Generic R/39k/0603
RV301,Potentiometer_Alps_RK097_Single_Horizontal,1,10k,C470577
"SW201, SW203, SW204, SW205, SW206, SW207, SW208",SW_SPST_PTS645,7,Tactile switch,C221869
SW202,SW_SPST_436351045816,1,Tactile switch,C79174
U201,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,C15742
U202,SOT-23-5,1,TPS7A2033,C2862740
U203,SOT-23-6,1,TP6841S6,C2844924
"U301, U503, U504",SOIC-8_3.9x4.9mm_P1.27mm,3,MCP6002,C116706
U302,DFN-14-1EP_3x3mm_P0.4mm_EP1.78x2.35mm,1,MAX9814,C41714
U401,SOT-23-6,1,USBLC6-2SC6,C7519
"U501, U502",MSOP-8_3x3mm_P0.65mm,2,MCP4551-103,C636116
Y201,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8 MHz,C2442665
