Designator,Mid X,Mid Y,Rotation,Layer
C201,67.45,65.85,270.0,top
C202,4.25,32.1,90.0,top
C203,9.35,32.1,90.0,top
C204,23.025,20.95,90.0,top
C205,27.95,33.3,180.0,top
C206,23.421,46.85,0.0,top
C207,42.171,54.275,90.0,top
C208,27.2,50.05,90.0,top
C209,20.75,49.9,90.0,top
C210,37.0,46.8,90.0,top
C211,19.175,49.9,90.0,top
C212,32.071,49.1,0.0,top
C213,16.2,20.9625,270.0,top
C214,17.725,20.9625,270.0,top
C215,14.875,1.975,90.0,top
C216,27.95,36.35,0.0,top
C217,26.025,20.95,270.0,top
C218,10.4,26.875,270.0,top
C219,27.95,34.825,0.0,top
C220,11.925,26.875,270.0,top
C221,24.525,20.95,270.0,top
C222,11.175,38.2,90.0,top
C223,25.925,42.575,0.0,top
C224,41.0,58.825,270.0,top
C225,42.55,58.825,270.0,top
C226,14.25,38.2,90.0,top
C227,15.775,38.2,90.0,top
C301,13.475,48.65,0.0,top
C302,65.125,14.555,90.0,top
C303,75.125,17.725,0.0,top
C304,75.125,13.805,180.0,top
C305,80.325,5.85,180.0,top
C306,80.325,9.95,180.0,top
C307,85.625,3.75,0.0,top
C308,7.475,12.2,90.0,top
C309,13.04,16.7,0.0,top
C310,90.875,11.2,0.0,top
C311,62.9,7.8,270.0,top
C312,10.9,12.192158,270.0,top
C313,90.885,8.515,0.0,top
C314,11.4,20.4,90.0,top
C315,76.6,20.825,180.0,top
C316,8.3,20.4,90.0,top
C317,5.15,15.95,270.0,top
C318,9.85,20.4,90.0,top
C401,48.375,1.95,180.0,top
C501,72.3,73.5,270.0,top
C502,88.275,72.275,90.0,top
C503,95.8,62.7,0.0,top
C504,95.05,58.9,270.0,top
C505,81.85,64.6,180.0,top
C506,79.7,67.95,90.0,top
C507,86.4,70.7,90.0,top
C508,81.25,78.55,270.0,top
C509,84.35,78.55,90.0,top
C510,77.95,64.45,0.0,top
C511,80.8,61.95,0.0,top
C512,77.85,71.3,90.0,top
C513,95.2,65.275,90.0,top
C514,79.7,78.55,90.0,top
D201,71.5,65.1,0.0,top
D202,22.6125,61.325,180.0,top
