Designator,Mid X,Mid Y,Rotation,Layer
C201,67.2,64.35,270.0,top
C202,4.0,30.6,90.0,top
C203,9.1,30.6,90.0,top
C204,22.775,19.45,90.0,top
C205,27.7,31.8,180.0,top
C206,23.171,45.35,180.0,top
C207,41.921,52.775,90.0,top
C208,26.95,48.55,90.0,top
C209,20.5,48.3,90.0,top
C210,36.75,45.3,90.0,top
C211,18.925,48.3,90.0,top
C212,31.821,47.6,0.0,top
C213,15.95,19.4625,270.0,top
C214,17.475,19.4625,270.0,top
C215,14.625,2.2,90.0,top
C216,27.7,34.85,0.0,top
C217,25.775,19.45,270.0,top
C218,10.15,25.375,270.0,top
C219,27.7,33.325,0.0,top
C220,11.675,25.375,270.0,top
C221,24.275,19.45,270.0,top
C222,10.925,36.7,90.0,top
C223,25.675,41.075,0.0,top
C224,40.75,57.325,270.0,top
C225,42.3,57.325,270.0,top
C226,14.0,36.7,90.0,top
C227,15.525,36.7,90.0,top
C301,13.225,47.15,0.0,top
C302,64.875,13.055,90.0,top
C303,74.875,16.225,0.0,top
C304,74.875,12.305,180.0,top
C305,80.075,4.35,180.0,top
C306,80.075,8.45,180.0,top
C307,85.375,2.25,0.0,top
C308,7.225,10.7,90.0,top
C309,12.79,15.2,0.0,top
C310,90.625,9.7,0.0,top
C311,62.65,6.3,90.0,top
C312,10.65,10.692158,270.0,top
C313,90.635,7.015,0.0,top
C314,11.15,18.9,90.0,top
C315,76.35,19.325,180.0,top
C316,8.05,18.9,90.0,top
C318,9.6,18.9,90.0,top
C401,48.125,1.8,180.0,top
C501,72.0,70.45,90.0,top
C502,88.025,70.775,90.0,top
C503,95.55,61.2,0.0,top
C504,94.8,57.4,270.0,top
C505,81.6,63.1,180.0,top
C506,79.45,66.45,90.0,top
C507,86.15,69.2,270.0,top
C508,81.0,77.05,270.0,top
C509,84.1,77.05,90.0,top
C510,77.7,62.95,180.0,top
C511,80.55,60.45,180.0,top
C512,77.6,69.8,270.0,top
C513,94.95,63.775,90.0,top
C514,79.45,77.05,90.0,top
D201,71.25,63.6,0.0,top
D202,22.3625,59.825,0.0,top
D203,27.6725,45.29,0.0,top
D204,79.05,18.005,90.0,top
D205,80.85,18.005,90.0,top
D206,82.65,18.005,90.0,top
D207,84.45,18.005,90.0,top
D401,50.71,69.96,90.0,top
FB201,64.375,63.6,0.0,top
FB202,7.5875,25.8,0.0,top
FB203,41.8125,59.725,0.0,top
FB204,9.15,36.9875,270.0,top
