Comment,Designator,Footprint,LCSC
470,"R7,R10,R13,R14,R19,R20",R_0603,C23179
100n,"C1,C7,C9,C11,C13,C19,C22,C23,C24,C27,C31,C32,C34,C36,C37,C38,C39,C41,C42,C43,C44,C46,C48,C50,C60,C64,C68",C_0603,C14663
18p,"C3,C6",C_0603,C1647
2k,R33,R_0603,C22975
12p,"C66,C67",C_0603,C38523
FB0805,"FB1,FB2,FB3",L_0805,C1017
1k,R5,R_0603,C21190
3k3,"R36,R41",R_0603,C22978
680R,"R24,R25,R26,R27",R_0603,C23253
22u,"C56,C57,C58,C59",CP_EIA-3216-18_Kemet-A,C163537
47k,R49,R_0603,C25819
2k2,"R1,R35,R42",R_0603,C4190
10n,"C4,C14,C16,C45,C51,C52,C53,C61",C_0603,C57112
100k,"R23,R44",R_0603,C25803
3v3,D10,D_SOD-523,C131795
1u,"C8,C17,C25,C33",C_0603,C15849
ADP2302ARDZ-5.0,"X1,J1,RV1,IC1,L1,H1,U2,H2,J3,H3,SW3,H4,J4,D5,J5,J6,J7,U8,J8,J9,U9,J10,U10,C40",SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,
10k,"R6,R9,R11,R12,R17,R18,R31,R34,R54",R_0603,C25804
PTT,D2,D_0603,C2286
2u2,"C2,C5,C29,C47",C_0603,C23630
5k1,"R15,R16",R_0603,C23186
SSA33L,D7,D_SMA,C435944
3k9,"R37,R40",R_0603,C23018
27,"R28,R29",R_0603,C25190
39k,"R38,R39,R53",R_0603,C23153
USB_C,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
15p,C35,C_0603,C1644
Sync,D3,D_0603,C72043
IRLML2060,Q1,SOT-23,C67275
0,R8,R_0603,C21189
BAT60A,"D6,D8,D9",D_SOD-323,C91059
MAX3232,U5,TSSOP-16_4.4x5mm_P0.65mm,C11317
USBLC6-2,U3,SOT-23-6,C7519
10u,C18,CP_EIA-3216-18_Kemet-A,C110055
100p,C12,C_0603,C14858
680p,"C49,C55",C_0603,C1630
33k,R45,R_0603,C4216
220,R2,R_0603,C22962
Error,D4,D_0603,C72038
TPS73233,U11,SOT-23-5,C181459
150k,R30,R_0603,C22807
4u7,C26,C_0603,C19666
22u,C30,C_0603,C59461
MCP602,"U6,U7",SOIC-8_3.9x4.9mm_P1.27mm,C360037
Button Up,"SW1,SW2,SW4,SW5,SW6,SW7",SW_SPST_PTS645,C381038
22k,"R32,R43,R46",R_0603,C31850
470n,C21,C_0603,C1623
4k7,"R47,R48",R_0603,C23162
470p,C54,C_0603,C1620
Power,D1,D_0603,C72041
47u,C65,C_1210_3225Metric,C90142
22,"R3,R4",R_0603,C23345
32 kHz,Y2,Crystal_SMD_MicroCrystal_CC8V-T1A-2Pin_2.0x1.2mm,C97602
220n,C20,C_0603,C21120
10u,C62,C_1210_3225Metric,C380537
8 MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C518156
MAX9814,U1,DFN-14-1EP_3x3mm_P0.4mm_EP1.78x2.35mm,C41714
330,R51,R_0603,C23138
