Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R8,0,R_0603,84.25,-94.25,180.0,top
R23,100k,R_0603,87.55,-97.25,-90.0,top
R44,100k,R_0603,148.1,-40.0,90.0,top
C1,100n,C_0603,89.65,-88.6,-90.0,top
C7,100n,C_0603,101.75,-74.55,0.0,top
C9,100n,C_0603,84.25,-92.85,0.0,top
C11,100n,C_0603,83.55,-83.3,180.0,top
C13,100n,C_0603,89.1,-71.25,90.0,top
C19,100n,C_0603,148.4,-58.7,180.0,top
C22,100n,C_0603,98.8,-71.1125,-90.0,top
C23,100n,C_0603,147.4,-64.8,180.0,top
C24,100n,C_0603,100.2,-71.1125,90.0,top
C27,100n,C_0603,83.55,-79.8,0.0,top
C31,100n,C_0603,82.35,-105.25,180.0,top
C32,100n,C_0603,72.9,-87.8,0.0,top
C34,100n,C_0603,105.6,-47.4,-90.0,top
C36,100n,C_0603,94.95,-104.0,0.0,top
C37,100n,C_0603,103.65,-47.4,90.0,top
C38,100n,C_0603,73.95,-56.55,-90.0,top
C39,100n,C_0603,101.9,-47.4,90.0,top
C41,100n,C_0603,107.1,-47.4,90.0,top
C42,100n,C_0603,105.65,-59.0,-90.0,top
C43,100n,C_0603,94.95,-106.8,0.0,top
C44,100n,C_0603,87.25,-52.7,90.0,top
C46,100n,C_0603,93.5,-92.85,0.0,top
C48,100n,C_0603,95.15,-63.8,-90.0,top
C50,100n,C_0603,76.85,-50.4,90.0,top
C60,100n,C_0603,80.2,-50.4,90.0,top
C64,100n,C_0603,143.6,-44.9,180.0,top
C68,100n,C_0603,84.15,-74.3,180.0,top
C12,100p,C_0603,90.55,-97.25,-90.0,top
R6,10k,R_0603,134.65,-113.8,180.0,top
R9,10k,R_0603,134.65,-122.4,180.0,top
R11,10k,R_0603,123.65,-113.8,180.0,top
R12,10k,R_0603,123.65,-122.4,180.0,top
R17,10k,R_0603,145.65,-113.8,180.0,top
R18,10k,R_0603,145.75,-122.4,180.0,top
R31,10k,R_0603,82.35,-107.8,0.0,top
R34,10k,R_0603,72.9,-85.0,180.0,top
R54,10k,R_0603,88.2,-88.6,-90.0,top
C4,10n,C_0603,91.05,-88.6,-90.0,top
C14,10n,C_0603,87.7,-71.25,90.0,top
C16,10n,C_0603,98.9,-88.6,-90.0,top
C45,10n,C_0603,92.35,-63.8,-90.0,top
C51,10n,C_0603,80.5,-61.7,90.0,top
C52,10n,C_0603,95.35,-52.7,-90.0,top
C53,10n,C_0603,81.85,-50.4,-90.0,top
C61,10n,C_0603,134.0,-49.7,90.0,top
C18,10u,CP_EIA-3216-18_Kemet-A,151.1,-61.7,90.0,top
C62,10u,C_1210_3225Metric,149.2,-44.9,-90.0,top
C66,12p,C_0603,79.1,-70.2,180.0,top
C67,12p,C_0603,79.1,-74.6,180.0,top
R30,150k,R_0603,84.25,-98.45,0.0,top
C35,15p,C_0603,86.05,-110.9,0.0,top
C3,18p,C_0603,76.5,-78.45,90.0,top
C6,18p,C_0603,81.4,-78.45,90.0,top
R5,1k,R_0603,94.6,-88.6,90.0,top
C8,1u,C_0603,83.55,-81.9,180.0,top
C17,1u,C_0603,97.5,-88.6,-90.0,top
C25,1u,C_0603,150.9,-64.8,0.0,top
C33,1u,C_0603,72.55,-56.55,-90.0,top
R3,22,R_0603,107.15,-73.8,90.0,top
R4,22,R_0603,105.75,-73.8,90.0,top
R2,220,R_0603,83.55,-78.4,0.0,top
C20,220n,C_0603,82.35,-109.2,180.0,top
