Comment,Designator,Footprint,LCSC
470,"R7,R10,R13,R14,R19,R20",R_0603,C23179
100n,"C1,C7,C9,C11,C12,C13,C19,C22,C23,C24,C27,C31,C32,C36,C38,C43,C44,C46,C48,C50,C60,C64",C_0603,C14663
12p,"C3,C6",C_0603,C38523
2k,R33,R_0603,C22975
FB0805,"FB1,FB2,FB3",L_0805,C1017
1k,R5,R_0603,C21190
3k3,"R36,R41",R_0603,C22978
10k,"R6,R9,R11,R12,R17,R18,R34,R58,R59,R60,R61",R_0603,C25804
680R,"R24,R25,R26,R27",R_0603,C23253
22u,"C56,C57,C58,C59",CP_EIA-3216-18_Kemet-A,C163537
47k,"R32,R49,R50",R_0603,C25819
2k2,"R1,R35,R42",R_0603,C4190
10n,"C4,C14,C16,C45,C51,C52,C53,C61",C_0603,C57112
100k,"R23,R44",R_0603,C25803
1u,"C8,C17,C25,C33",C_0603,C15849
22k,"R31,R43,R46",R_0603,C31850
1n,C10,C_0603,C1588
PTT,D2,D_0603,C2286
2u2,"C2,C5,C29,C47",C_0603,C23630
Kenwood-2.5,J1,PJ-211A,C480265
5k1,"R15,R16",R_0603,C23186
3k9,"R37,R40",R_0603,C23018
27,"R28,R29",R_0603,C25190
DFLT18A-7 ,D5,D_PowerDI-123,C443642
39k,"R38,R39",R_0603,C23153
USB_C,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
15p,C35,C_0603,C1644
Sync,D3,D_0603,C72043
IRLML2060,Q1,SOT-23,C67275
0,"R8,R52",R_0603,C21189
22k,R2,R_0603,C22962
BAT60A,"D6,D8,D9",D_SOD-323,C117485
USBLC6-2,U3,SOT-23-6,C7519
10u,C18,CP_EIA-3216-18_Kemet-A,C110055
680p,"C49,C55",C_0603,C1630
22k,R45,R_0603,C4216
126k,R57,R_0603,C22869
Error,D4,D_0603,C72038
TPS73233,U11,SOT-23-5,C9055
150k,R30,R_0603,C22807
LM4861M,IC1,SOIC-8_3.9x4.9mm_P1.27mm,C7958
4u7,C26,C_0603,C19666
22u,C30,C_0603,C59461
MCP6002,"U6,U7",SOIC-8_3.9x4.9mm_P1.27mm,C7377
Button Up,"SW1,SW2,SW4,SW5,SW6,SW7",SW_SPST_PTS645,C83916
10u,L1,L_Vishay_IHLP-2525,C540965
Speaker,J12,PinHeader_1x02_P2.54mm_Vertical,
24k,R56,R_0603,C23352
Kenwood-3.5,J5,PJ-3136-B,C381131
470n,C21,C_0603,C1623
4k7,"R47,R48",R_0603,C23162
470p,C54,C_0603,C1620
Power,D1,D_0603,C72041
BSS138,"Q2,Q3",SOT-23,C78284
22u,"C62,C65",C_1210_3225Metric,C309062
Reset,SW3,ST-1185S,C589191
22,"R3,R4",R_0603,C23345
220n,C20,C_0603,C21120
STM32F405RGTx,U10,LQFP-64_10x10mm_P0.5mm,C99031
TP6841S6,U2,SOT-23-6,C2844924
8 MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C518156
+12V,J8,BarrelJack_CLIFF_FC681465S_SMT_Horizontal,C319133
MAX9814,U1,DFN-14-1EP_3x3mm_P0.4mm_EP1.78x2.35mm,C41714
Radio,J7,DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm,C75749
330,R51,R_0603,C23138
470u,C40,CP_Elec_6.3x7.7,C116423
