"Source:","C:\Users\smill\Documents\git\Module_17\hardware\r0.1e\M17-SmartMic.kicad_sch"
"Date:","7/1/2023 1:29:03 PM"
"Tool:","Eeschema (7.0.0)"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","155"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Description","Height","LCSC Part #","MPN","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","18","C1, C7, C9, C11, C12, C13, C19, C23, C27, C31, C32, C36, C38, C43, C46, C48, C60, C64","100n","pkl_device:pkl_C_Small","pkl_dipol:C_0603","","","","","","","Generic C/100nF/C0G/25V/0603","","","",""
"2","4","C2, C5, C29, C47","2u2","pkl_device:pkl_C_Small","pkl_dipol:C_0603","","","","","","","Generic C/2.2uF/C0G/25V/0603","","","",""
"3","2","C3, C6","12p","pkl_device:pkl_C_Small","pkl_dipol:C_0603","","","","","","","Generic C/12pF/C0G/16V/0603","","","",""
"4","8","C4, C14, C16, C45, C51, C52, C53, C61","10n","pkl_device:pkl_C_Small","pkl_dipol:C_0603","","","","","","","Generic C/10nF/C0G/25V/0603","","","",""
"5","4","C8, C17, C25, C33","1u","pkl_device:pkl_C_Small","pkl_dipol:C_0603","","","","","","","Generic C/1uF/C0G/25V/0603","","","",""
"6","1","C10","1n","pkl_device:pkl_C_Small","pkl_dipol:C_0603","","","","","","","Generic C/1nF/C0G/25V/0603","","","",""
"7","1","C18","10u","pkl_device:pkl_CP_Small","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A","","","","","","C110055","T491A106K016AT","","","",""
"8","1","C20","220n","pkl_device:pkl_C_Small","pkl_dipol:C_0603","","","","","","","Generic C/220nF/C0G/25V/0603","","","",""
"9","1","C21","470n","pkl_device:pkl_C_Small","pkl_dipol:C_0603","","","","","","","Generic C/470nF/C0G/25V/0603","","","",""
"10","1","C30","22u","pkl_device:pkl_C_Small","pkl_dipol:C_0603","","","","","","","Generic C/22uF/C0G/10V/0603","","","",""
